code,CCS,coding_system
00BR4ZZ,1,ICDPROC10
00BS0ZZ,1,ICDPROC10
00BS3ZZ,1,ICDPROC10
00BS4ZZ,1,ICDPROC10
00BT0ZZ,1,ICDPROC10
00BT3ZZ,1,ICDPROC10
00BT4ZZ,1,ICDPROC10
00D10ZZ,1,ICDPROC10
00D13ZZ,1,ICDPROC10
00D14ZZ,1,ICDPROC10
00D20ZZ,1,ICDPROC10
00D23ZZ,1,ICDPROC10
00D24ZZ,1,ICDPROC10
00DF0ZZ,1,ICDPROC10
00DF3ZZ,1,ICDPROC10
00DF4ZZ,1,ICDPROC10
00DG0ZZ,1,ICDPROC10
00DG3ZZ,1,ICDPROC10
00DG4ZZ,1,ICDPROC10
00DH0ZZ,1,ICDPROC10
00DH3ZZ,1,ICDPROC10
00DH4ZZ,1,ICDPROC10
00DJ0ZZ,1,ICDPROC10
00DJ3ZZ,1,ICDPROC10
00DJ4ZZ,1,ICDPROC10
00DK0ZZ,1,ICDPROC10
00DK3ZZ,1,ICDPROC10
00DK4ZZ,1,ICDPROC10
00DL0ZZ,1,ICDPROC10
00DL3ZZ,1,ICDPROC10
00DL4ZZ,1,ICDPROC10
00DM0ZZ,1,ICDPROC10
00DM3ZZ,1,ICDPROC10
00DM4ZZ,1,ICDPROC10
00DN0ZZ,1,ICDPROC10
00DN3ZZ,1,ICDPROC10
00DN4ZZ,1,ICDPROC10
00DP0ZZ,1,ICDPROC10
00DP3ZZ,1,ICDPROC10
00DP4ZZ,1,ICDPROC10
00DQ0ZZ,1,ICDPROC10
00DQ3ZZ,1,ICDPROC10
00DQ4ZZ,1,ICDPROC10
00DR0ZZ,1,ICDPROC10
00DR3ZZ,1,ICDPROC10
00DR4ZZ,1,ICDPROC10
00DS0ZZ,1,ICDPROC10
00DS3ZZ,1,ICDPROC10
00DS4ZZ,1,ICDPROC10
00DT0ZZ,1,ICDPROC10
00DT3ZZ,1,ICDPROC10
00DT4ZZ,1,ICDPROC10
00T70ZZ,1,ICDPROC10
00T73ZZ,1,ICDPROC10
00T74ZZ,1,ICDPROC10
0W9100Z,1,ICDPROC10
0W910ZZ,1,ICDPROC10
0W9130Z,1,ICDPROC10
0W913ZZ,1,ICDPROC10
0W9140Z,1,ICDPROC10
0W914ZZ,1,ICDPROC10
0WC10ZZ,1,ICDPROC10
0WC13ZZ,1,ICDPROC10
0WC14ZZ,1,ICDPROC10
0WH103Z,1,ICDPROC10
0WH10YZ,1,ICDPROC10
0WH133Z,1,ICDPROC10
0WH13YZ,1,ICDPROC10
0WH143Z,1,ICDPROC10
0WH14YZ,1,ICDPROC10
3E0Q028,1,ICDPROC10
3E0Q029,1,ICDPROC10
3E0Q03Z,1,ICDPROC10
3E0Q06Z,1,ICDPROC10
3E0Q07Z,1,ICDPROC10
3E0Q0AZ,1,ICDPROC10
3E0Q0BZ,1,ICDPROC10
3E0Q0E0,1,ICDPROC10
